Term	Dept	Crse	Sect	Title	FacultyName	StartDate	EndDate	ReportLink	FlagNoReview	ClassSize	OverallMean	OverallSD	OverallResponseRate	QualityMean	QualitySD	QualityMedian	QualityResponseRate	InstructorMean	InstructorSD	InstructorMedian	InstructorResponseRate	IntellectualChallengeMean	IntellectualChallengeSD	IntellectualChallengeMedian	IntellectualChallengeRate	TAMean	TASD	TAMedian	TARate	FeedbackMean	FeedbackSD	FeedbackMedian	FeedbackRate	RelativeWorkMean	RelativeWorkSD	RelativeWorkMedian	RelativeWorkRate
AE Fall 2023	AS Anthropology	AS.070.322	01	The Politics of Land Rights	"Menezes, Benita Maria"	08/28/2023	12/08/2023	Link	0	9	3.9	0.69	0.888888889	3.5	0.53	3.5	0.888888889	3.5	0.53	3.5	0.888888889	4.25	0.46	4	0.888888889	0	0	0	0.888888889	3.63	1.19	4	0.888888889	4.63	0.74	5	0.888888889
AE Fall 2023	AS Anthropology	AS.070.338	01	Transnational Migration through the Lens of Kinship and Gender	"Kim, Sojung"	08/28/2023	12/08/2023	Link	0	9	4.28	0.79	0.888888889	4.5	0.76	5	0.888888889	4	0.93	4	0.888888889	4.75	0.46	5	0.888888889	0	0	0	0.888888889	4.5	1.07	5	0.888888889	3.63	0.74	3.5	0.888888889
AE Fall 2023	AS Anthropology	AS.070.404	01	The Idea of Africa	"Mohamed, Sabine"	08/28/2023	12/08/2023	Link	0	6	4.64	0.42	0.833333333	4.8	0.45	5	0.833333333	5	0	5	0.833333333	5	0	5	0.833333333	0	0	0	0.833333333	4.6	0.55	5	0.833333333	3.8	1.1	4	0.833333333
AE Fall 2023	AS Anthropology	AS.070.431	01	Politics of Language	"MacLochlainn, Scott A"	08/28/2023	12/08/2023	Link	0	8	4.17	0.72	1	4.38	0.74	4.5	1	4.38	0.74	4.5	1	4.5	0.76	5	1	5	0	5	1	4.13	0.83	4	1	2.63	0.52	3	1
AE Fall 2023	AS Anthropology	AS.070.604	01	The Idea of Africa	"Mohamed, Sabine"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Anthropology	AS.070.631	01	Politics of Language	"MacLochlainn, Scott A"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Anthropology	AS.070.656	01	Anthropology of Religion	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Anthropology	AS.070.659	01	Proposal Writing	"MacLochlainn, Scott A"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Anthropology	AS.070.674	01	Readings in Anthropology	"Mohamed, Sabine"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	01	Archaeology Major Honors Thesis I	"Schwartz, Glenn M"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	02	Archaeology Major Honors Thesis I	"Roller, Matthew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	03	Archaeology Major Honors Thesis I	"Deleonardis, Lisa"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	04	Archaeology Major Honors Thesis I	"Harrower, Michael James"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	05	Archaeology Major Honors Thesis I	"Anderson, Emily S.K."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.510	06	Archaeology Major Honors Thesis I	"Bryan, Betsy Morrell"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.511	01	Archaeology Major Honors Thesis II	"Schwartz, Glenn M"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.511	02	Archaeology Major Honors Thesis II	"Roller, Matthew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.511	03	Archaeology Major Honors Thesis II	"Deleonardis, Lisa"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.511	04	Archaeology Major Honors Thesis II	"Anderson, Emily S.K."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Archaeology	AS.136.511	05	Archaeology Major Honors Thesis II	"Bryan, Betsy Morrell"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Behavioral Biology	AS.290.303	01	Animal Behavior and Communication Lab	"Bohn, Kirsten M"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Biology	AS.020.622	01	Current Topics in Modern Biology Research	"Kim, John"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Biophysics	AS.250.253	01	Protein Engineering and Biochemistry Lab	"Sorenson, Jaime Lynn"	08/28/2023	12/08/2023	Link	0	5	4.33	0.62	1	4.4	0.55	4	1	4	0.71	4	1	4.4	0.55	4	1	4	0.82	4	1	4.6	0.55	5	1	4.6	0.55	5	1
AE Fall 2023	AS Biophysics	AS.250.253	02	Protein Engineering and Biochemistry Lab	"Sorenson, Jaime Lynn"	08/28/2023	12/08/2023	Link	0	9	3.99	1.19	0.888888889	3.75	1.39	4	0.888888889	3.57	1.62	4	0.777777778	4.17	0.98	4.5	0.777777778	4	1.15	4	0.777777778	3.71	1.5	4	0.777777778	4.71	0.49	5	0.777777778
AE Fall 2023	AS Biophysics	AS.250.253	04	Protein Engineering and Biochemistry Lab	"Sorenson, Jaime Lynn"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Biophysics	AS.250.253	05	Protein Engineering and Biochemistry Lab	"Robinson, Aaron"	08/28/2023	12/08/2023	Link	0	18	4.23	0.98	0.833333333	4.33	1.23	5	0.833333333	4.6	0.74	5	0.833333333	4.6	0.83	5	0.833333333	3.36	1.28	4	0.833333333	3.87	1.3	4	0.833333333	4.6	0.51	5	0.833333333
AE Fall 2023	AS Biophysics	AS.250.253	07	Protein Engineering and Biochemistry Lab	"Robinson, Aaron"	08/28/2023	12/08/2023	Link	0	11	4.28	0.72	0.909090909	4.4	0.52	4	0.909090909	4.7	0.48	5	0.909090909	4.7	0.48	5	0.909090909	3.6	1.26	4	0.909090909	3.9	0.88	4	0.909090909	4.4	0.7	4.5	0.909090909
AE Fall 2023	AS Biophysics	AS.250.253	08	Protein Engineering and Biochemistry Lab	"Sorenson, Jaime Lynn"	08/28/2023	12/08/2023	Link	0	6	3.58	1.04	1	3.5	1.52	3.5	1	3.33	1.21	3.5	1	4.17	0.98	4.5	1	3	0.89	3	1	2.67	1.21	2.5	1	4.83	0.41	5	1
AE Fall 2023	AS Biophysics	AS.250.383	01	Molecular Biophysics Laboratory	"Robinson, Aaron"	08/28/2023	12/08/2023	Link	0	8	4.19	0.66	1	4.13	0.64	4	1	4.5	0.76	5	1	4.63	0.52	5	1	4.13	0.83	4	1	3.5	0.76	4	1	4.25	0.46	4	1
AE Fall 2023	AS Biophysics	AS.250.421	01	"Advanced Seminar in Membrane Protein Structure, Function & Pharmacology"	"Fleming, Karen"	08/28/2023	12/08/2023	Link	0	11	4.58	0.65	1	4.82	0.6	5	1	4.82	0.6	5	1	4.91	0.3	5	1	0	0	0	1	4.45	0.93	5	1	3.91	0.83	4	1
AE Fall 2023	AS Center for Africana Studies	AS.362.119	01	Abolition and the University	"Cumming, Daniel G."	08/28/2023	12/08/2023	Link	0	5	4.28	0.49	1	4.4	0.55	4	1	4.6	0.89	5	1	4.6	0.55	5	1	0	0	0	1	4.8	0.45	5	1	3	0	3	1
AE Fall 2023	AS Center for Africana Studies	AS.362.510	01	Senior Honors in Africana Studies I	"White, Alexandre Ilani Rein"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Center for Africana Studies	AS.362.510	02	Senior Honors in Africana Studies I	"Johnson, Jessica Marie"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Center for Africana Studies	AS.362.510	03	Senior Honors in Africana Studies I	"Schrader, Stuart Laurence"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Classics	AS.040.213	01	"The Painted Worlds of Early Greece:  Fantasy, Form and Action"	"Anderson, Emily S.K."	08/28/2023	12/08/2023	Link	0	9	4.37	0.51	0.777777778	4.57	0.53	5	0.777777778	4.57	0.53	5	0.777777778	4.71	0.49	5	0.777777778	0	0	0	0.777777778	4.71	0.49	5	0.777777778	3.29	0.49	3	0.777777778
AE Fall 2023	AS Earth & Planetary Sciences	AS.270.510	01	Senior Honors Thesis	"Gnanadesikan, Anand"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Earth & Planetary Sciences	AS.271.511	01	Senior Honors Thesis	"Burgess, Jerry"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS East Asian Studies	AS.310.431	01	Senior Thesis Seminar: East Asian Studies	"Andreas, Joel"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.238	01	Rethinking Economics After the Great Recession	"Norris, Floyd"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.280	01	The History and Future of the Hedge Fund Industry	"Heerdt, Kevin M."	08/28/2023	12/08/2023	Link	0	16	4.4	0.64	1	4.88	0.34	5	1	4.88	0.34	5	1	4.69	0.48	5	1	5	0	5	1	4.31	1.14	5	1	2.63	0.89	2.5	1
AE Fall 2023	AS Economics	AS.180.310	01	Economics of Antitrust	"Hamilton, Bruce W"	08/28/2023	12/08/2023	Link	0	17	3.63	0.97	1	4.53	1.01	5	1	4.59	1.06	5	1	4.29	0.99	4	1	1	0	1	0.941176471	4.13	1.15	4	1	3.24	0.66	3	1
AE Fall 2023	AS Economics	AS.180.363	01	"Sex, Drugs and Dynamic Optimization: The Economics of Risky Behavior"	"Papageorge, Nicholas W"	08/28/2023	12/08/2023	Link	0	7	4.26	0.58	1	4.57	0.53	5	1	4.43	0.53	4	1	4.57	0.53	5	1	0	0	0	1	4.43	0.53	4	1	3.29	0.76	3	1
AE Fall 2023	AS Economics	AS.180.369	01	Tools for Writing a Research Paper in Economics	"Carroll, Christopher D"	08/28/2023	12/08/2023	Link	0	9	4.48	0.58	1	4.44	0.73	5	1	4.78	0.44	5	1	4.67	0.5	5	1	4.88	0.35	5	1	4.67	0.71	5	1	3.44	0.73	3	1
AE Fall 2023	AS Economics	AS.180.521	02	Research in Economics: Honors Thesis	"Dore, Giovanna Maria Dora"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	03	Research in Economics: Honors Thesis	"Wright, Jonathan H"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	04	Research in Economics: Honors Thesis	"Ball, Laurence M"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	05	Research in Economics: Honors Thesis	"Jeanne, Olivier"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	06	Research in Economics: Honors Thesis	"Barbera, Robert"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	07	Research in Economics: Honors Thesis	"Papageorge, Nicholas W"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	08	Research in Economics: Honors Thesis	"Hwang, Yujung"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	09	Research in Economics: Honors Thesis	"Bianchi, Francesco"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	10	Research in Economics: Honors Thesis	"Moffitt, Robert A"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	11	Research in Economics: Honors Thesis	"Duffee, Gregory R"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.521	12	Research in Economics: Honors Thesis	"Elliott, Jonathan Tyler"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	01	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	02	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	03	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	04	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	05	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Economics	AS.180.522	09	Senior Honors Thesis	Staff	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.107	01	Introduction to Literary Study	"Thompson, Mark C"	08/28/2023	12/08/2023	Link	0	12	3.9	0.79	1	4.5	0.67	5	1	4.58	0.51	5	1	4.33	0.65	4	1	0	0	0	1	3.5	1.31	4	1	2.58	0.79	3	1
AE Fall 2023	AS English	AS.060.107	02	Introduction to Literary Study	"Crisostomo, Johaina K"	08/28/2023	12/08/2023	Link	0	13	3.37	1.13	1	3.15	1.14	3	1	3.08	1.38	3	1	3.92	1.26	4	1	0	0	0	0.923076923	3.69	1.18	4	1	3	0.71	3	1
AE Fall 2023	AS English	AS.060.169	01	Literature and Visual Art	"Miller, Andrew"	08/28/2023	12/08/2023	Link	0	7	4.54	0.57	1	4.57	0.53	5	1	4.86	0.38	5	1	4.71	0.76	5	1	0	0	0	1	4.71	0.49	5	1	3.86	0.69	4	1
AE Fall 2023	AS English	AS.060.313	01	Literature of the Settler Revolution	"Hickman, Jared W"	08/28/2023	12/08/2023	Link	0	6	4.5	0.52	1	4.67	0.52	5	1	4.33	0.52	4	1	4.83	0.41	5	1	0	0	0	1	4.67	0.52	5	1	4	0.63	4	1
AE Fall 2023	AS English	AS.060.344	01	Reimagining the Past: History and Memory in Asian American Fiction	"Crisostomo, Johaina K"	08/28/2023	12/08/2023	Link	0	10	4.44	0.64	1	4.5	0.71	5	1	4.5	0.71	5	1	4.7	0.67	5	1	0	0	0	1	4.7	0.48	5	1	3.8	0.63	4	1
AE Fall 2023	AS English	AS.060.364	01	Utopias	"Mao, Douglas"	08/28/2023	12/08/2023	Link	0	15	4.52	0.44	1	4.67	0.49	5	1	4.87	0.35	5	1	4.73	0.46	5	1	0	0	0	1	4.86	0.36	5	0.933333333	3.47	0.52	3	1
AE Fall 2023	AS English	AS.060.375	01	Literary Studies as Data Science	"Da, Nan"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.397	01	Thomas Pynchon	"Nealon, Christopher"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	01	Senior Essay	"Daniel, Andrew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	02	Senior Essay	"Hickman, Jared W"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	03	Senior Essay	"Rosenthal, Jesse Karl"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	04	Senior Essay	"Mao, Douglas"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	05	Senior Essay	"Nealon, Christopher"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	06	Senior Essay	"Achinstein, Sharon"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	07	Senior Essay	"Favret, Mary"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	08	Senior Essay	"Thompson, Mark C"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.509	09	Senior Essay	"Miller, Andrew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.623	01	The Sentimental Imagination	"Mao, Douglas"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.630	01	"All That Jazz: African American Literature and Music, Origins through the 1950s"	"Jackson, Lawrence P"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.659	01	Bodies on Stage in Early Modern Drama	"Daniel, Andrew"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS English	AS.060.687	01	Literature and Political Geography	"Achinstein, Sharon"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS Film and Media Studies	AS.061.140	01	"Introduction to Cinema, 1892-1960"	"Bucknell, Lucy"	08/28/2023	12/08/2023	Link	0	14	3.88	0.8	0.928571429	4.23	0.83	4	0.928571429	4.08	1.04	4	0.928571429	4.31	0.75	4	0.928571429	3.2	0.84	3	0.928571429	4.23	0.93	4	0.928571429	3.23	0.44	3	0.928571429
AE Fall 2023	AS Film and Media Studies	AS.061.147	01	Visual Storytelling	"Bucknell, Lucy"	08/28/2023	12/08/2023	Link	0	8	4.25	0.88	1	4.5	0.76	5	1	4.25	1.16	5	1	4.5	0.76	5	1	5	0	5	1	4.38	1.06	5	1	2.88	0.64	3	1
AE Fall 2023	AS Film and Media Studies	AS.061.205	01	Introduction to Screenwriting	"Sharman, Russell"	08/28/2023	12/08/2023	Link	0	10	4.39	0.19	0.9	5	0	5	0.9	5	0	5	0.9	4.56	0.53	5	0.9	4	0	4	0.9	5	0	5	0.9	2.78	0.44	3	0.9
AE Fall 2023	AS Film and Media Studies	AS.061.226	01	Special Topics:  Writing About Film	"Mason, Laura"	08/28/2023	12/08/2023	Link	0	12	4.18	0.68	0.833333333	3.89	0.93	4	0.75	4	0.71	4	0.833333333	4.4	0.7	4.5	0.833333333	0	0	0	0.75	4.8	0.42	5	0.833333333	3.8	0.63	4	0.833333333
AE Fall 2023	AS Film and Media Studies	AS.061.373	01	Intermediate Screenwriting	"Rodgers, Adam F"	08/28/2023	12/08/2023	Link	0	12	4.3	0.56	1	4.67	0.49	5	1	4.64	0.67	5	0.916666667	4.58	0.67	5	1	4	0	4	1	4.82	0.4	5	0.916666667	3.09	0.54	3	0.916666667
AE Fall 2023	AS First Year Seminars	AS.001.200	01	FYS: Great Adaptations in the Animal Kingdom	"Russell, Arthur"	08/28/2023	12/08/2023	Link	0	12	3.95	0.7	1	4.75	0.45	5	1	4.75	0.62	5	1	4.25	0.75	4	1	0	0	0	1	4.33	0.78	4.5	1	1.67	0.89	1.5	1
AE Fall 2023	AS First Year Seminars	AS.001.200	01	FYS: Great Adaptations in the Animal Kingdom	"Moss, Cynthia"	08/28/2023	12/08/2023	Link	0	12	3.97	0.65	1	4.75	0.45	5	1	4.89	0.39	5	1	4.25	0.75	4	1	0	0	0	1	4.33	0.78	4.5	1	1.67	0.89	1.5	1
AE Fall 2023	AS History	AS.100.102	01	The Medieval World	"Lester, Anne"	08/28/2023	12/08/2023	Link	0	11	4.06	0.87	0.909090909	4	0.82	4	0.909090909	4.2	0.92	4	0.909090909	4.33	0.71	4	0.909090909	4.3	0.95	4.5	0.909090909	3.9	1.29	4	0.909090909	3.6	0.52	4	0.909090909
AE Fall 2023	AS History	AS.100.102	02	The Medieval World	"Lester, Anne"	08/28/2023	12/08/2023	Link	0	8	4.35	0.78	1	4.25	0.89	4.5	1	4.43	0.98	5	0.875	4.43	0.79	5	0.875	4.57	0.79	5	0.875	4.71	0.49	5	0.875	3.71	0.76	4	0.875
AE Fall 2023	AS History	AS.100.102	03	The Medieval World	"Lester, Anne"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History	AS.100.102	04	The Medieval World	"Lester, Anne"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History	AS.100.293	01	"Historical Methods, Archives and Interpretations"	"Maciejko, Pawel Tadeusz"	08/28/2023	12/08/2023	Link	0	17	4.3	0.8	0.882352941	3.87	0.83	4	0.882352941	4.07	0.96	4	0.882352941	4.53	0.83	5	0.882352941	4.87	0.35	5	0.882352941	4.08	1.19	5	0.882352941	4.4	0.63	4	0.882352941
AE Fall 2023	AS History	AS.100.301	01	America after the Civil Rights Movement	"Connolly, Nathan D"	08/28/2023	12/08/2023	Link	0	22	4.05	0.84	0.954545455	4.38	0.86	5	0.954545455	4.45	0.89	5	0.954545455	4.38	0.74	5	0.954545455	0	0	0	0.954545455	3.9	0.91	4	0.954545455	3.14	0.79	3	0.954545455
AE Fall 2023	AS History	AS.100.302	01	"History of the French-Algerian War, 1954-1962"	"Shepard, Todd"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History	AS.100.321	01	"Political Thought and Social Transformation in the Haitian Revolution and Early Independent Mexico, c. 1789-1850"	"Borocz-Johnson, Lee Michael"	08/28/2023	12/08/2023	Link	0	6	3.8	0.73	1	4.17	0.75	4	1	4	0.63	4	1	3.83	0.75	4	1	0	0	0	1	4	0.89	4	1	3	0.63	3	1
AE Fall 2023	AS History	AS.100.327	01	"The Islamic Age of Empires: The Ottomans, the Mughals, and the Safavids"	"Noor, Rao Mohsin Ali"	08/28/2023	12/08/2023	Link	0	12	4.09	0.66	0.916666667	4.45	0.52	4	0.916666667	4.18	0.87	4	0.916666667	4.45	0.52	4	0.916666667	4	0	4	0.916666667	4	0.71	4	0.916666667	3.45	0.69	3	0.916666667
AE Fall 2023	AS History	AS.100.347	01	Early Modern China	"Rowe, William T"	08/28/2023	12/08/2023	Link	0	17	4.28	0.63	1	4.35	0.7	4	1	4.41	0.87	5	1	4.29	0.85	5	1	4.88	0.33	5	1	4.76	0.44	5	1	3	0.61	3	1
AE Fall 2023	AS History	AS.100.360	01	"The Modern British World: Imperial Encounters, Regimes, and Resistance, from the American Revolution to the present"	"Hindmarch-Watson, Katie"	08/28/2023	12/08/2023	Link	0	10	4	1.06	1	4	0.94	4	1	4.4	0.97	5	1	4	0.94	4	1	5	0	5	1	3.5	1.58	4	1	3.1	0.88	3	1
AE Fall 2023	AS History	AS.100.413	01	London 1580-1830: The History of Britain's capital city	"Marshall, John W"	08/28/2023	12/08/2023	Link	0	23	4.46	0.48	1	4.7	0.56	5	1	4.83	0.39	5	1	4.65	0.49	5	1	4.5	0.58	4.5	1	4.87	0.34	5	1	3.22	0.52	3	1
AE Fall 2023	AS History	AS.100.450	04	History Research Lab	"Johnson, Jessica Marie"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History	AS.100.450	09	History Research Lab	"Johnson, Jessica Marie"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History	AS.100.507	01	Senior Honors Thesis	"Harms, Victoria Elizabeth"	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.101	01	"Introduction to Art History, Pre-1400"	"Stager, Jennifer M S"	08/28/2023	12/08/2023	Link	0	6	4.44	0.39	1	5	0	5	1	4.67	0.52	5	1	4.67	0.52	5	1	4.83	0.41	5	1	4.67	0.52	5	1	2.83	0.41	3	1
AE Fall 2023	AS History of Art	AS.010.101	02	"Introduction to Art History, Pre-1400"	"Stager, Jennifer M S"	08/28/2023	12/08/2023	Link	0	11	4.07	0.87	0.909090909	4.3	0.82	4.5	0.909090909	4.2	1.03	4.5	0.909090909	3.9	0.88	4	0.909090909	4.7	0.67	5	0.909090909	4.2	1.48	5	0.909090909	3.1	0.32	3	0.909090909
AE Fall 2023	AS History of Art	AS.010.238	01	The Painting of Modern Life: From the Avant-garde to the Everyday	"Schopp, Caroline Lillian"	08/28/2023	12/08/2023	Link	0	13	4.21	0.83	1	4.46	0.66	5	1	4.46	0.78	5	1	4.46	0.88	5	1	4.62	0.65	5	1	4.15	1.28	5	1	3.08	0.76	3	1
AE Fall 2023	AS History of Art	AS.010.256	01	Rembrandt	"Hyman, Aaron M."	08/28/2023	12/08/2023	Link	1																												
AE Fall 2023	AS History of Art	AS.010.468	01	What is in a Landscape	"Liu, Yinxing"	08/28/2023	12/08/2023	Link	0	4	4.27	0.46	0.75	4.33	0.58	4	0.75	4.67	0.58	5	0.75	4.67	0.58	5	0.75	0	0	0	0.75	5	0	5	0.75	2.67	0.58	3	0.75
AE Fall 2023	AS History of Art	AS.010.469	01	"Quarried, Sculpted, Carved: Lifecycles of Mesoamerican Sculpture"	"Popovici, Catherine"	08/28/2023	12/08/2023	Link	0	11	4.72	0.14	0.909090909	4.9	0.32	5	0.909090909	5	0	5	0.909090909	5	0	5	0.909090909	5	0	5	0.909090909	5	0	5	0.818181818	3.43	0.53	3	0.818181818
AE Fall 2023	AS History of Art	AS.010.521	01	Honors Thesis	"Campbell, Stephen"	08/28/2023	12/08/2023	Link	1																												
